"","ego","alter","alter_type","q1.years.known.eiq","q2.years.worked.with.eiq","q3a.wk.relationship.eiq","q3b.wk.relationship.other.eiq","q4a.work.interaction.freq.eiq","q4b.personal.interaction.freq.eiq","q5a.likely.discuss.env.issues.eiq","q5b.likely.discuss.env.issues.exp.eiq","q6a.likely.discuss.econ.issues.eiq","q6b.likely.discuss.econ.issues.exp.eiq","q7a.likely.discuss.comm.issues.eiq","q7b.likely.discuss.comm.issues.exp.eiq","q8a.likely.discuss.gvmtresources.issues.eiq","q8b.likely.discuss.gvmtresources.issues.exp.eiq","q9a.likely.discuss.fedagency.issues.eiq","q9b.likely.discuss.fedagency.issues.exp.eiq","q10.difficulty.selling.catch.eiq","q11.indiv.contact.agency.eiq","q12a.related.indiv.eiq","q12b.related.descriptor.eiq","q12c.related.descriptor.other.eiq","q13.positive.wk.relationship.eiq","q14.wk.relationship.quality.eiq","q15.sust.industry.contribution.eiq","q16.trust.level.eiq","q17.willingness.to.wk.with.eiq"
"360","Martinez, Kevin","Adam, Mariah","Shared-Profession",19,3,"Colleague","N/A","Monthly","Bi-weekly (every other week)",8,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Child","N/A","Neither agree nor disagree",10,"Neither agree nor disagree",6,6
"361","Reilly, Julia","Heiser, Susan","In-Network",26,7,"Other (please specify)","Professional relationship explanation","A few times per month","Bi-weekly (every other week)",10,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Neither agree nor disagree",9,"Strongly disagree",8,9
"362","Reilly, Julia","Tran, Quinn","Out-Network",25,20,"Employer","N/A","A few times per month","Less than once per month",10,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Child","N/A","Strongly disagree",8,"Agree",4,9
"363","Reilly, Julia","Malone, John","Shared-Profession",24,23,"Colleague","N/A","Daily","Monthly",9,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Cousin","N/A","Strongly disagree",9,"Strongly disagree",10,4
"364","Prejean, Dezmen","Garcia, Marco","Shared-Profession",4,1,"Colleague","N/A","Weekly","Daily",6,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly agree",2,"Strongly agree",10,6
"365","Prejean, Dezmen","Chacon, Julissa","Shared-Profession",10,10,"Colleague","N/A","Daily","Monthly",0,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","No","Yes","Parent","N/A","Agree",8,"Agree",2,8
"366","Sanchez, Victor","Flores Ramos, Jasmin","Shared-Profession",26,19,"Colleague","N/A","Weekly","Daily",4,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Other (please specify)","Explain","Disagree",6,"Neither agree nor disagree",4,3
"367","Kindsfather, Zachariah","Salas, Cristian","In-Network",4,4,"Other (please specify)","Professional relationship explanation","Daily","Weekly",0,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly disagree",10,"Strongly disagree",1,6
"368","Kindsfather, Zachariah","Shackelford, Matthew","Shared-Profession",5,0,"Colleague","N/A","A few times per month","Monthly",7,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","No","Yes","Cousin","N/A","Agree",0,"Strongly disagree",8,1
"369","Kindsfather, Zachariah","Hastings, Savanah","Shared-Profession",26,0,"Colleague","N/A","A few times per week","A few times per week",1,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",7,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","No","No","Yes","Spouse or partner","N/A","Agree",6,"Disagree",8,5
"370","Kindsfather, Zachariah","Frantz, Alejandra","Shared-Profession",17,4,"Colleague","N/A","A few times per week","A few times per week",5,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Cousin","N/A","Disagree",8,"Agree",9,6
"371","Kindsfather, Zachariah","Kurowski, Kenneth","Shared-Profession",25,3,"Colleague","N/A","Monthly","Monthly",7,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Neither agree nor disagree",5,"Agree",6,0
"372","Kindsfather, Zachariah","Yanez, Walter","Shared-Profession",1,0,"Colleague","N/A","A few times per month","Weekly",9,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Neither agree nor disagree",9,"Neither agree nor disagree",2,1
"373","Kassahun, Jonathan","Ray, Phoenix","Out-Network",4,2,"Other (please specify)","Professional relationship explanation","A few times per week","Monthly",0,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Cousin","N/A","Disagree",10,"Neither agree nor disagree",4,7
"374","Kassahun, Jonathan","Shields, Xavior","Shared-Profession",19,14,"Colleague","N/A","Monthly","Less than once per month",5,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Other (please specify)","Explain","Disagree",6,"Disagree",5,9
"375","Kassahun, Jonathan","Hughes, Kebrina","Shared-Profession",3,2,"Colleague","N/A","A few times per week","A few times per month",10,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Cousin","N/A","Neither agree nor disagree",3,"Strongly agree",6,5
"376","Kassahun, Jonathan","Litwiller, Matthew","Shared-Profession",30,12,"Colleague","N/A","Bi-weekly (every other week)","Weekly",7,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly disagree",3,"Disagree",10,2
"377","Kassahun, Jonathan","Garcia, Marco","Shared-Profession",27,14,"Colleague","N/A","A few times per week","A few times per month",10,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly agree",6,"Agree",10,9
"378","Kassahun, Jonathan","Sanchez, Victor","Shared-Profession",10,4,"Colleague","N/A","Monthly","Weekly",1,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Parent","N/A","Strongly agree",10,"Agree",10,6
"379","Kassahun, Jonathan","Hajek, J","Shared-Profession",2,1,"Colleague","N/A","A few times per week","Monthly",2,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Cousin","N/A","Neither agree nor disagree",0,"Strongly disagree",9,10
"380","Kassahun, Jonathan","Jimenez, Araceli","Shared-Profession",14,11,"Colleague","N/A","Daily","Bi-weekly (every other week)",8,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Agree",9,"Neither agree nor disagree",7,9
"381","Alvarez, Cynthia","Gonzalez, Michael","Shared-Profession",5,0,"Colleague","N/A","A few times per week","A few times per week",4,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Cousin","N/A","Neither agree nor disagree",1,"Strongly disagree",4,1
"382","Knight, Brenton","West, Terrence","Shared-Profession",16,9,"Colleague","N/A","Weekly","A few times per month",0,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","No","Yes","Cousin","N/A","Strongly disagree",8,"Agree",5,7
"383","Knight, Brenton","Knight, Atienne","Shared-Profession",17,8,"Colleague","N/A","Daily","Daily",8,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Agree",10,"Neither agree nor disagree",1,0
"384","Knight, Brenton","Graff, Levi","Shared-Profession",18,6,"Colleague","N/A","Bi-weekly (every other week)","Monthly",8,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Other (please specify)","Explain","Strongly disagree",9,"Disagree",0,0
"385","Knight, Brenton","Hyde, Bret","Shared-Profession",19,12,"Colleague","N/A","Bi-weekly (every other week)","Less than once per month",0,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Neither agree nor disagree",6,"Disagree",4,5
"386","Knight, Brenton","Nixon, Tessa","Shared-Profession",21,10,"Colleague","N/A","Monthly","A few times per month",0,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","No","Yes","Parent","N/A","Strongly agree",0,"Strongly agree",2,9
"387","Knight, Brenton","Delants, Thomas","Shared-Profession",13,4,"Colleague","N/A","A few times per week","Bi-weekly (every other week)",8,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Neither agree nor disagree",6,"Strongly agree",9,9
"388","Knight, Brenton","Ulibarri, Luisa","Shared-Profession",11,3,"Colleague","N/A","Bi-weekly (every other week)","Monthly",2,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Neither agree nor disagree",5,"Agree",2,9
"389","Knight, Brenton","Bugarin, Brenna","Shared-Profession",11,1,"Colleague","N/A","Weekly","A few times per week",4,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Neither agree nor disagree",1,"Strongly disagree",5,8
"390","Knight, Brenton","Becerra, Cecilia","Shared-Profession",13,10,"Colleague","N/A","A few times per week","Daily",8,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Strongly agree",6,"Disagree",0,6
"391","Herrod, Keona","Ramos, Kayla","Shared-Profession",10,10,"Colleague","N/A","Daily","Bi-weekly (every other week)",5,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Parent","N/A","Agree",1,"Agree",6,6
"392","Ayon, Emma","Amos, Jacob","In-Network",2,2,"Employer","N/A","Less than once per month","A few times per week",10,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Disagree",0,"Disagree",0,2
"393","Ayon, Emma","Romero, Nicholas","In-Network",30,18,"Employee","N/A","A few times per week","A few times per week",7,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly disagree",8,"Agree",2,7
"394","Ayon, Emma","Mendoza-Estrada, Maria","Shared-Profession",30,5,"Colleague","N/A","A few times per month","Bi-weekly (every other week)",7,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly agree",0,"Neither agree nor disagree",0,8
"395","Ayon, Emma","Hughes, Kebrina","Shared-Profession",22,4,"Colleague","N/A","Daily","Monthly",8,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Spouse or partner","N/A","Disagree",2,"Strongly agree",10,8
"396","Ayon, Emma","Ortiz, Cristal","Shared-Profession",20,12,"Colleague","N/A","Weekly","Less than once per month",2,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","No","Yes","Parent","N/A","Neither agree nor disagree",2,"Strongly agree",4,10
"397","Ayon, Emma","Yanez, Walter","Shared-Profession",27,6,"Colleague","N/A","Bi-weekly (every other week)","Weekly",3,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly agree",9,"Strongly disagree",1,6
"398","Ayon, Emma","Spetnagel, Cheyenne","Shared-Profession",3,2,"Colleague","N/A","Bi-weekly (every other week)","A few times per month",4,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Disagree",10,"Strongly agree",5,9
"399","White, Lucas","Curtis, Ira","Out-Network",20,9,"Employee","N/A","Monthly","Daily",9,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Parent","N/A","Disagree",7,"Neither agree nor disagree",5,1
"400","White, Lucas","Anderson, Kailib","Shared-Profession",6,5,"Colleague","N/A","Monthly","Bi-weekly (every other week)",6,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",7,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Disagree",7,"Strongly agree",1,5
"401","White, Lucas","Solomon, Mila","Shared-Profession",20,1,"Colleague","N/A","Daily","Monthly",3,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","No","Yes","Child","N/A","Disagree",7,"Disagree",0,6
"402","White, Lucas","Malone, John","Shared-Profession",27,1,"Colleague","N/A","Monthly","A few times per month",5,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Spouse or partner","N/A","Strongly agree",2,"Agree",8,6
"403","White, Lucas","Lewis, Nickolas","Shared-Profession",29,12,"Colleague","N/A","A few times per month","Less than once per month",2,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Neither agree nor disagree",5,"Neither agree nor disagree",6,3
"404","White, Lucas","Gomez, Levi","Shared-Profession",23,18,"Colleague","N/A","A few times per week","Less than once per month",1,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Agree",6,"Strongly disagree",7,1
"405","Smith II, Shirley","Mcconnaughhay, Robert","Out-Network",30,12,"Employee","N/A","Less than once per month","Bi-weekly (every other week)",10,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","No","No","Yes","Other (please specify)","Explain","Strongly agree",1,"Neither agree nor disagree",3,5
"406","Smith II, Shirley","Kalscheur, Madalyn","Shared-Profession",13,6,"Colleague","N/A","Weekly","Less than once per month",5,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Agree",7,"Strongly agree",6,0
"407","Smith II, Shirley","Hankins, Trenton","Shared-Profession",29,7,"Colleague","N/A","Monthly","A few times per week",3,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Agree",3,"Strongly disagree",0,0
"408","Smith II, Shirley","Perdue, Jeffrey","Shared-Profession",1,0,"Colleague","N/A","A few times per month","Bi-weekly (every other week)",3,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Other (please specify)","Explain","Agree",4,"Agree",9,9
"409","Gonzales, Dionisio","Davis, Hailey","Out-Network",2,0,"Other (please specify)","Professional relationship explanation","Bi-weekly (every other week)","A few times per month",10,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Strongly agree",8,"Neither agree nor disagree",9,6
"410","Gonzales, Dionisio","Lopez, Paige","Shared-Profession",23,12,"Colleague","N/A","A few times per week","A few times per month",8,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Neither agree nor disagree",2,"Agree",8,8
"411","Gonzales, Dionisio","Oberndorfer, Drayven","Shared-Profession",17,17,"Colleague","N/A","Weekly","A few times per week",4,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Child","N/A","Disagree",9,"Neither agree nor disagree",4,3
"412","Gonzales, Dionisio","Willingham, Aspen","Shared-Profession",21,13,"Colleague","N/A","Weekly","Weekly",1,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Agree",8,"Strongly agree",8,8
"413","Gonzales, Dionisio","Yanez, Walter","Shared-Profession",2,0,"Colleague","N/A","Monthly","A few times per week",10,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Cousin","N/A","Strongly disagree",0,"Disagree",1,2
"414","Fuller, Nicole","Kang, Alana","Out-Network",27,22,"Employee","N/A","Less than once per month","Monthly",8,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Agree",2,"Strongly disagree",8,8
"415","Fuller, Nicole","Hernandez, Christian","Shared-Profession",29,21,"Colleague","N/A","Less than once per month","Monthly",6,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Spouse or partner","N/A","Neither agree nor disagree",10,"Strongly agree",0,9
"416","Sheets, Chanon","Owusu Ansah, Ciara","Shared-Profession",17,10,"Colleague","N/A","A few times per month","A few times per week",9,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Neither agree nor disagree",7,"Agree",6,10
"417","Flores Ramos, Jasmin","Davis, Hailey","Out-Network",28,25,"Employee","N/A","A few times per month","A few times per week",2,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly agree",0,"Strongly disagree",3,2
"418","Flores Ramos, Jasmin","Garcia, Marco","Shared-Profession",7,3,"Colleague","N/A","A few times per month","Daily",0,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Neither agree nor disagree",2,"Strongly disagree",4,2
"419","Flores Ramos, Jasmin","Till, David","Shared-Profession",16,2,"Colleague","N/A","A few times per week","A few times per week",9,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Disagree",0,"Agree",9,3
"420","Flores Ramos, Jasmin","Ibarra, Jeanette","Shared-Profession",25,16,"Colleague","N/A","Bi-weekly (every other week)","Weekly",1,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",7,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Cousin","N/A","Neither agree nor disagree",0,"Disagree",10,9
"421","Flores Ramos, Jasmin","Gallegos, Brandon","Shared-Profession",29,16,"Colleague","N/A","Less than once per month","A few times per week",8,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Agree",10,"Strongly disagree",0,4
"422","Wilson, Sydney","Knight, Brenton","Shared-Profession",1,1,"Colleague","N/A","A few times per week","Monthly",8,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Cousin","N/A","Strongly disagree",1,"Agree",4,2
"423","Silas, Tavion","Fernandez, Joel","Shared-Profession",23,6,"Colleague","N/A","A few times per month","Less than once per month",0,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Strongly agree",10,"Strongly disagree",2,3
"424","Silas, Tavion","Johnson, Sha'Celeste","Shared-Profession",2,0,"Colleague","N/A","Less than once per month","Daily",7,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Disagree",0,"Neither agree nor disagree",6,4
"425","Ortiz, Cristal","Reynolds, Hana","In-Network",25,4,"Employer","N/A","Less than once per month","Monthly",7,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly agree",2,"Neither agree nor disagree",1,7
"426","Ortiz, Cristal","Hope, Elli","In-Network",8,2,"Employee","N/A","Monthly","Bi-weekly (every other week)",6,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Neither agree nor disagree",9,"Strongly agree",2,2
"427","Ortiz, Cristal","Gamez-Santana, Keshla","Shared-Profession",3,3,"Colleague","N/A","A few times per week","Bi-weekly (every other week)",5,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Neither agree nor disagree",3,"Agree",5,8
"428","Ortiz, Cristal","Sanchez, Victor","Shared-Profession",21,5,"Colleague","N/A","A few times per week","Daily",9,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Parent","N/A","Strongly disagree",10,"Agree",7,10
